,name,PA,PM,(dommages Neutre),Portée,Force,Sagesse,Intelligence,Puissance,Échangeable :,-special spell-,Attitude,Vitalité,% Critique,Dommages Feu,Dommages Air,Dommages Terre,Dommages Eau,Dommages Neutre,% Résistance Terre,% Résistance Eau,% Résistance Feu,% Résistance Neutre,% Résistance Air,Dommages,Prospection,Résistances Eau,Résistances Air,Résistances Feu,Chance,Agilité,Résistances Terre,Résistances Neutre,Initiative,(dommages Air),(vol Neutre),(dommages Terre),Dommages Poussée,Invocation,(dommages Feu),(vol Eau),Soins,Arme de chasse,(dommages Eau),Fuite,Invocations,Tacle,Retrait PM,Dommages Pièges,Puissance (pièges),(vol Air),Renvoie dommages,Résistances Critiques,(vol Feu),(soins Feu),(vol Terre),Dommages Critiques,Pods,Esquive PM,Esquive PA,Résistances Poussée,Retrait PA,Dommage Terre,Dommage Feu,Dommage Air,Réduit le coût en PA du sort de,Augmente la portée maximale du sort de,Augmente le nombre de lancers maximal par tour du sort de,Rend la portée du sort modifiable,Augmente les Critiques du sort de%,Désactive le lancer en ligne du sort,Désactive la ligne de vue du sort,Réduit l'intervalle de relance du sort de,Augmente le nombre de lancers maximal par cible du sort de,Augmente les Dommages fixes du sort de,Titre :,Quelqu'un vous suit !,Lié au personnage,% Dommages mêlée,% Résistance mêlée,% Résistance distance,% Dommages distance,% Dommages d'armes,% Dommages aux sorts,Craft coopératif impossible.,Utilisations restantes : /,% Résistance aux armes,(dommages Meilleur élément),Ajouter un sort temporaire,ankama_id,type,level,image_urls
0,La Baguette des Limbes,1.0,1.0,20.0,1.0,-11.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,"{'name': 'Baguette', 'id': 65}",105.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/3007.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/3007-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/3007-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/3007-800.png'}"
1,Dofus Pourpre,,,,,,,,80.0,0.0,0.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.0,"{'name': 'Dofus', 'id': 177}",110.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/23001.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/23001-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/23001-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/23001-800.png'}"
2,Dofus Émeraude,,,,,,,,,0.0,0.0,183.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.0,"{'name': 'Dofus', 'id': 177}",100.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/23002.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/23002-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/23002-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/23002-800.png'}"
3,Dofus Turquoise,,,,,,,,,0.0,0.0,184.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.0,"{'name': 'Dofus', 'id': 177}",160.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/23003.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/23003-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/23003-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/23003-800.png'}"
4,Dofusteuse,,,,,,40.0,,,,0.0,,350.0,5.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958.0,"{'name': 'Cape', 'id': 43}",200.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/17251.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/17251-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/17251-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/17251-800.png'}"
5,Plimclik,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1488.0,"{'name': 'Amulette', 'id': 33}",130.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/1123.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/1123-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/1123-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/1123-800.png'}"
6,Bottes Animales Sombres,,1.0,,,,30.0,,,,,,50.0,,,,,,,,,,5.0,,10.0,10.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,"{'name': 'Bottes', 'id': 45}",122.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/11023.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/11023-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/11023-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/11023-800.png'}"
7,Corbacape Mastralis,,,,2.0,,50.0,,,,,,120.0,,,,,,,10.0,10.0,,10.0,,,10.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2547.0,"{'name': 'Cape', 'id': 43}",127.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/17056.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/17056-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/17056-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/17056-800.png'}"
8,Caracape Minotoris,,,,,,,,20.0,,,,,,,,,,,10.0,10.0,10.0,,10.0,,,15.0,15.0,15.0,,20.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2629.0,"{'name': 'Cape', 'id': 43}",121.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/17055.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/17055-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/17055-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/17055-800.png'}"
9,Ceinture Corbaquiale,,,,,50.0,40.0,,,,,,,,,,,,,5.0,5.0,,,5.0,,10.0,,,,,,,,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2655.0,"{'name': 'Ceinture', 'id': 58}",120.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/10056.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/10056-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/10056-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/10056-800.png'}"
